OID_,Value,Count,Clip_bps_220,Clip_evt_230,BPS_MODEL,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
1,1,9050958.000000000000000,11,7292,0,Open Water,Open Water,Open Water,Open Water
2,2,86099.000000000000000,1610,9089,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
3,3,18346.000000000000000,1610,9112,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer
4,4,5172.000000000000000,1613,9817,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
5,5,364879.000000000000000,1597,9089,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
6,6,38461.000000000000000,1597,9112,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer
7,7,230609.000000000000000,1608,9089,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
8,8,1327278.000000000000000,1598,9089,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
9,9,68159.000000000000000,1608,9112,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer
10,10,1332.000000000000000,1597,9312,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Northeastern North American Temperate Forest Plantation,Conifer
11,11,79230.000000000000000,1597,9817,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous
12,12,1826541.000000000000000,1608,9056,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
13,13,306022.000000000000000,1610,7481,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
14,14,16457.000000000000000,1597,7362,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer
15,15,32032.000000000000000,1597,9056,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
16,16,10917.000000000000000,1597,9317,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
17,17,534.000000000000000,1597,9601,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Great Lakes Dune Grassland,Grassland
18,18,26690.000000000000000,1608,9817,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
19,19,9714.000000000000000,1608,7362,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer
20,20,141144.000000000000000,1608,7301,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
21,21,739565.000000000000000,1608,7481,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
22,22,794.000000000000000,1611,9089,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
23,23,32828.000000000000000,1608,9118,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian
24,24,2082.000000000000000,1613,9089,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
25,25,797.000000000000000,1597,9202,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Northern Great Lakes Coastal Marsh,Riparian
26,26,123359.000000000000000,1597,7481,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
27,27,1391.000000000000000,1610,9202,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Northern Great Lakes Coastal Marsh,Riparian
28,28,13413.000000000000000,1610,9817,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
29,29,4867.000000000000000,1610,9118,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian
30,30,869.000000000000000,1608,9312,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Northeastern North American Temperate Forest Plantation,Conifer
31,31,11064.000000000000000,1613,9056,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
32,32,30.000000000000000,1610,9601,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Great Lakes Dune Grassland,Grassland
33,33,117580.000000000000000,1610,9056,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
34,34,363.000000000000000,1610,9312,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Northeastern North American Temperate Forest Plantation,Conifer
35,35,5781.000000000000000,1597,9118,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Freshwater Marsh,Riparian
36,36,6165.000000000000000,1597,7239,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
37,37,4878.000000000000000,1610,9317,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
38,38,141095.000000000000000,1596,9056,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
39,39,1256628.000000000000000,1596,9089,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
40,40,230502.000000000000000,1597,7301,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
41,41,6468.000000000000000,1597,9088,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
