BPS_NAME,EVT_PHYS,COUNT,ACRES,HECTARES
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Natural Vegetation,37974229,8445260,305122.93
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Agricultural,12464981,2772143,100156.1223
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Developed,5018119,1116002,40320.58617
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Exotics,1152412,256290,9259.63042
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Other clearings,27441,6103,220.488435
North-Central Interior Beech-Maple Forest,Agricultural,32062511,7130526,257622.2759
North-Central Interior Beech-Maple Forest,Developed,10636331,2365462,85462.91959
North-Central Interior Beech-Maple Forest,Natural Vegetation,6889675,1532226,55358.53863
North-Central Interior Beech-Maple Forest,Exotics,990854,220360,7961.51189
North-Central Interior Beech-Maple Forest,Other clearings,18605,4138,149.491175
Laurentian-Acadian Northern Hardwoods Forest,Natural Vegetation,13051346,2902548,104867.5651
Laurentian-Acadian Northern Hardwoods Forest,Agricultural,8967105,1994235,72050.68868
Laurentian-Acadian Northern Hardwoods Forest,Developed,3364503,748247,27033.78161
Laurentian-Acadian Northern Hardwoods Forest,Exotics,261500,58156,2101.1525
Laurentian-Acadian Northern Hardwoods Forest,Other clearings,12875,2863,103.450625
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Natural Vegetation,20291436,4512704,163041.6883
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Agricultural,524102,116557,4211.15957
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Developed,331867,73805,2666.551345
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Exotics,132937,29564,1068.148795
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Other clearings,5055,1124,40.616925
North-Central Interior Dry-Mesic Oak Forest and Woodland,Agricultural,8719684,1939210,70062.66094
North-Central Interior Dry-Mesic Oak Forest and Woodland,Developed,4589467,1020672,36876.36735
North-Central Interior Dry-Mesic Oak Forest and Woodland,Natural Vegetation,2963099,658977,23808.50047
North-Central Interior Dry-Mesic Oak Forest and Woodland,Exotics,413407,91939,3321.725245
North-Central Interior Dry-Mesic Oak Forest and Woodland,Other clearings,10823,2407,86.962805
Laurentian-Acadian Northern Pine(-Oak) Forest,Natural Vegetation,9916069,2205279,79675.61442
Laurentian-Acadian Northern Pine(-Oak) Forest,Agricultural,3289665,731603,26432.45828
Laurentian-Acadian Northern Pine(-Oak) Forest,Developed,2266927,504152,18214.75845
Laurentian-Acadian Northern Pine(-Oak) Forest,Exotics,354548,78850,2848.79318
Laurentian-Acadian Northern Pine(-Oak) Forest,Other clearings,7630,1697,61.30705
Central Interior and Appalachian Swamp Systems,Natural Vegetation,6227194,1384894,50035.50379
Central Interior and Appalachian Swamp Systems,Agricultural,5278781,1173972,42415.00534
Central Interior and Appalachian Swamp Systems,Developed,1356236,301619,10897.35626
Central Interior and Appalachian Swamp Systems,Exotics,212561,47272,1707.927635
Central Interior and Appalachian Swamp Systems,Other clearings,8389,1866,67.405615
Boreal Acidic Peatland Systems,Natural Vegetation,12529214,2786428,100672.2345
Boreal Acidic Peatland Systems,Developed,215848,48003,1734.33868
Boreal Acidic Peatland Systems,Agricultural,133189,29621,1070.173615
Boreal Acidic Peatland Systems,Exotics,112743,25073,905.890005
Boreal Acidic Peatland Systems,Other clearings,2492,554,20.02322
Boreal White Spruce-Fir-Hardwood Forest-Inland,Natural Vegetation,10385677,2309717,83448.9147
Boreal White Spruce-Fir-Hardwood Forest-Inland,Agricultural,1293958,287769,10396.95253
Boreal White Spruce-Fir-Hardwood Forest-Inland,Developed,906943,201699,7287.287005
Boreal White Spruce-Fir-Hardwood Forest-Inland,Exotics,296450,65929,2381.97575
Boreal White Spruce-Fir-Hardwood Forest-Inland,Other clearings,6731,1497,54.083585
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Natural Vegetation,7525250,1673574,60465.38375
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Agricultural,3715333,826270,29852.70066
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Developed,1214063,270001,9754.996205
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Exotics,223829,49778,1798.466015
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Other clearings,2505,557,20.127675
North-Central Oak Barrens,Agricultural,3890954,865327,31263.81539
North-Central Oak Barrens,Developed,2653546,590134,21321.24211
North-Central Oak Barrens,Natural Vegetation,2530156,562693,20329.80346
North-Central Oak Barrens,Exotics,219068,48720,1760.21138
North-Central Oak Barrens,Other clearings,7852,1746,63.09082
Central Interior and Appalachian Floodplain Systems,Natural Vegetation,6522569,1450583,52408.84192
Central Interior and Appalachian Floodplain Systems,Agricultural,1714273,381245,13774.18356
Central Interior and Appalachian Floodplain Systems,Developed,679599,151139,5460.577965
Central Interior and Appalachian Floodplain Systems,Exotics,171446,38129,1377.56861
Central Interior and Appalachian Floodplain Systems,Other clearings,1887,420,15.162045
North-Central Interior Oak Savanna,Agricultural,3755484,835199,30175.31394
North-Central Interior Oak Savanna,Natural Vegetation,1989192,442385,15983.15772
North-Central Interior Oak Savanna,Developed,1550657,344858,12459.529
North-Central Interior Oak Savanna,Exotics,208565,46384,1675.819775
North-Central Interior Oak Savanna,Other clearings,4500,1001,36.1575
Boreal White Spruce-Fir-Hardwood Forest-Coastal,Natural Vegetation,3662415,814501,29427.50453
Boreal White Spruce-Fir-Hardwood Forest-Coastal,Agricultural,712010,158347,5721.00035
Boreal White Spruce-Fir-Hardwood Forest-Coastal,Developed,442701,98454,3557.102535
Boreal White Spruce-Fir-Hardwood Forest-Coastal,Exotics,178672,39736,1435.62952
Boreal White Spruce-Fir-Hardwood Forest-Coastal,Other clearings,52930,11771,425.29255
Laurentian Pine-Oak Barrens,Natural Vegetation,3902403,867873,31355.80811
Laurentian Pine-Oak Barrens,Developed,565978,125870,4547.63323
Laurentian Pine-Oak Barrens,Exotics,192169,42737,1544.077915
Laurentian Pine-Oak Barrens,Agricultural,93876,20878,754.29366
Laurentian Pine-Oak Barrens,Other clearings,2963,659,23.807705
Northeastern Interior Dry-Mesic Oak Forest,Developed,1812226,403029,14561.23591
Northeastern Interior Dry-Mesic Oak Forest,Natural Vegetation,1477221,328526,11869.47074
Northeastern Interior Dry-Mesic Oak Forest,Agricultural,1265253,281385,10166.30786
Northeastern Interior Dry-Mesic Oak Forest,Exotics,50780,11293,408.0173
Northeastern Interior Dry-Mesic Oak Forest,Other clearings,2812,625,22.59442
Laurentian-Acadian Floodplain Systems,Natural Vegetation,3821503,849881,30705.77661
Laurentian-Acadian Floodplain Systems,Agricultural,507081,112772,4074.395835
Laurentian-Acadian Floodplain Systems,Developed,137361,30548,1103.695635
Laurentian-Acadian Floodplain Systems,Exotics,83369,18541,669.869915
Laurentian-Acadian Floodplain Systems,Other clearings,425,95,3.414875
North-Central Interior Dry Oak Forest and Woodland,Agricultural,1979236,440171,15903.16126
North-Central Interior Dry Oak Forest and Woodland,Natural Vegetation,1149729,255693,9238.072515
North-Central Interior Dry Oak Forest and Woodland,Developed,894724,198982,7189.10734
North-Central Interior Dry Oak Forest and Woodland,Exotics,106751,23741,857.744285
North-Central Interior Dry Oak Forest and Woodland,Other clearings,3400,756,27.319
Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Natural Vegetation,3171573,705340,25483.58906
Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Agricultural,491426,109290,3948.60791
Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Developed,394950,87835,3173.42325
Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Exotics,69688,15498,559.94308
Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Other clearings,1306,290,10.49371
Appalachian (Hemlock-)Northern Hardwood Forest,Natural Vegetation,1910924,424979,15354.27434
Appalachian (Hemlock-)Northern Hardwood Forest,Agricultural,1342991,298674,10790.93269
Appalachian (Hemlock-)Northern Hardwood Forest,Developed,722159,160604,5802.547565
Appalachian (Hemlock-)Northern Hardwood Forest,Exotics,30678,6823,246.49773
Appalachian (Hemlock-)Northern Hardwood Forest,Other clearings,1161,258,9.328635
Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Natural Vegetation,3370030,749476,27078.19105
Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Developed,117018,26024,940.23963
Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Exotics,79836,17755,641.48226
Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Agricultural,31126,6922,250.09741
Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Other clearings,4485,997,36.036975
Central Interior and Appalachian Riparian Systems,Natural Vegetation,2339795,520358,18800.25283
Central Interior and Appalachian Riparian Systems,Agricultural,754484,167793,6062.27894
Central Interior and Appalachian Riparian Systems,Developed,346752,77116,2786.15232
Central Interior and Appalachian Riparian Systems,Exotics,62781,13962,504.445335
Central Interior and Appalachian Riparian Systems,Other clearings,232,52,1.86412
Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Natural Vegetation,2413892,536836,19395.62222
Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Developed,338507,75282,2719.903745
Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Exotics,155482,34578,1249.29787
Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Agricultural,34897,7761,280.397395
Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Other clearings,1740,387,13.9809
Central Tallgrass Prairie,Developed,1473547,327709,11839.95015
Central Tallgrass Prairie,Agricultural,916627,203853,7365.097945
Central Tallgrass Prairie,Natural Vegetation,412376,91710,3313.44116
Central Tallgrass Prairie,Exotics,69933,15553,561.911655
Central Tallgrass Prairie,Other clearings,2319,516,18.633165
North-Central Interior Wet Flatwoods,Agricultural,1436950,319570,11545.89325
North-Central Interior Wet Flatwoods,Natural Vegetation,773473,172016,6214.855555
North-Central Interior Wet Flatwoods,Developed,444279,98805,3569.781765
North-Central Interior Wet Flatwoods,Exotics,54343,12086,436.646005
North-Central Interior Wet Flatwoods,Other clearings,1567,348,12.590845
North-Central Interior Maple-Basswood Forest,Agricultural,1052634,234100,8457.91419
North-Central Interior Maple-Basswood Forest,Developed,658918,146540,5294.40613
North-Central Interior Maple-Basswood Forest,Natural Vegetation,432654,96220,3476.37489
North-Central Interior Maple-Basswood Forest,Exotics,56559,12578,454.451565
North-Central Interior Maple-Basswood Forest,Other clearings,4447,989,35.731645
Acadian-Appalachian Montane Spruce-Fir Forest,Natural Vegetation,2092142,465281,16810.36097
Acadian-Appalachian Montane Spruce-Fir Forest,Developed,46742,10395,375.57197
Acadian-Appalachian Montane Spruce-Fir Forest,Exotics,28799,6405,231.399965
Acadian-Appalachian Montane Spruce-Fir Forest,Agricultural,7528,1674,60.48748
Acadian-Appalachian Montane Spruce-Fir Forest,Other clearings,9,2,0.072315
Laurentian Pine-Oak Barrens-Jack Pine,Natural Vegetation,1735813,386035,13947.25746
Laurentian Pine-Oak Barrens-Jack Pine,Developed,231796,51550,1862.48086
Laurentian Pine-Oak Barrens-Jack Pine,Agricultural,135967,30238,1092.494845
Laurentian Pine-Oak Barrens-Jack Pine,Exotics,53963,12001,433.592705
Laurentian Pine-Oak Barrens-Jack Pine,Other clearings,2057,457,16.527995
Eastern Boreal Floodplain,Natural Vegetation,1218437,270974,9790.141295
Eastern Boreal Floodplain,Developed,20422,4542,164.09077
Eastern Boreal Floodplain,Agricultural,20015,4451,160.820525
Eastern Boreal Floodplain,Exotics,11877,2641,95.431695
Eastern Boreal Floodplain,Other clearings,352,78,2.82832
Central Appalachian Dry Oak-Pine Forest,Natural Vegetation,587619,130683,4721.518665
Central Appalachian Dry Oak-Pine Forest,Agricultural,397390,88377,3193.02865
Central Appalachian Dry Oak-Pine Forest,Developed,239906,53354,1927.64471
Central Appalachian Dry Oak-Pine Forest,Exotics,16950,3770,136.19325
Central Appalachian Dry Oak-Pine Forest,Other clearings,407,91,3.270245
Great Lakes Coastal Marsh Systems,Natural Vegetation,499114,111000,4010.38099
Great Lakes Coastal Marsh Systems,Agricultural,350317,77909,2814.797095
Great Lakes Coastal Marsh Systems,Developed,164142,36504,1318.88097
Great Lakes Coastal Marsh Systems,Exotics,78233,17399,628.602155
Great Lakes Coastal Marsh Systems,Other clearings,54043,12019,434.235505
Great Lakes Wet-Mesic Lakeplain Prairie,Agricultural,462010,102748,3712.25035
Great Lakes Wet-Mesic Lakeplain Prairie,Developed,314179,69872,2524.428265
Great Lakes Wet-Mesic Lakeplain Prairie,Natural Vegetation,215574,47942,1732.13709
Great Lakes Wet-Mesic Lakeplain Prairie,Exotics,26943,5992,216.487005
Great Lakes Wet-Mesic Lakeplain Prairie,Other clearings,1247,277,10.019645
Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Natural Vegetation,591119,131462,4749.641165
