"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",14,64,59029024,64,996488292,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,13127739,17.6
"2",9,25,18097130,25,278209151,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,4024705,5.4
"3",206,355,13709950,355,389424507,"Herb Cover = 55%",255,137,54,1,0.537255,0.211765,3049019,4.1
"4",15,65,10070600,65,96060928,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,2239648,3
"5",0,11,9051237,11,618852475,"Open Water",0,0,255,0,0,1,2012947,2.7
"6",73,165,7710495,165,92045945,"Tree Cover = 65%",49,128,29,0.192157,0.501961,0.113725,1714773,2.3
"7",6,22,7076248,22,101146235,"Developed-Low Intensity",255,122,143,1,0.478431,0.560784,1573720,2.1
"8",83,175,6919038,175,111573949,"Tree Cover = 75%",31,105,18,0.121569,0.411765,0.070588,1538757,2.1
"9",63,155,5461227,155,76625086,"Tree Cover = 55%",71,150,45,0.278431,0.588235,0.176471,1214548,1.6
"10",75,167,5082516,167,52048710,"Tree Cover = 67%",44,122,27,0.172549,0.478431,0.105882,1130324,1.5
"11",77,169,4904491,169,56630166,"Tree Cover = 69%",42,117,25,0.164706,0.458824,0.098039,1090733,1.5
"12",78,170,4925987,170,60247277,"Tree Cover = 70%",39,117,23,0.152941,0.458824,0.090196,1095513,1.5
"13",79,171,5009258,171,64736040,"Tree Cover = 71%",37,115,22,0.145098,0.45098,0.086275,1114032,1.5
"14",82,174,4982345,174,70640964,"Tree Cover = 74%",32,107,18,0.12549,0.419608,0.070588,1108047,1.5
"15",74,166,4742054,166,46599056,"Tree Cover = 66%",48,125,29,0.188235,0.490196,0.113725,1054607,1.4
"16",76,168,4850415,168,50476752,"Tree Cover = 68%",43,120,25,0.168627,0.470588,0.098039,1078706,1.4
"17",80,172,4811150,172,73461855,"Tree Cover = 72%",36,112,21,0.141176,0.439216,0.082353,1069974,1.4
"18",81,173,4709427,173,85671329,"Tree Cover = 73%",33,110,20,0.129412,0.431373,0.078431,1047351,1.4
"19",4,16,4249220,16,51432545,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,945004,1.3
"20",71,163,4316825,163,65035368,"Tree Cover = 63%",55,133,33,0.215686,0.521569,0.129412,960039,1.3
"21",72,164,4468575,164,58918146,"Tree Cover = 64%",51,130,31,0.2,0.509804,0.121569,993787,1.3
"22",7,23,4054541,23,47439540,"Developed-Medium Intensity",253,44,79,0.992157,0.172549,0.309804,901708,1.2
"23",16,68,3945024,68,187766346,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,877352,1.2
"24",68,160,3882444,160,42475974,"Tree Cover = 60%",62,140,38,0.243137,0.54902,0.14902,863435,1.2
"25",69,161,4019521,161,40083071,"Tree Cover = 61%",58,138,36,0.227451,0.541176,0.141176,893920,1.2
"26",70,162,4174027,162,61145608,"Tree Cover = 62%",56,135,34,0.219608,0.529412,0.133333,928281,1.2
"27",84,176,4033486,176,80941492,"Tree Cover = 76%",28,102,16,0.109804,0.4,0.062745,897026,1.2
"28",86,178,3867079,178,70312103,"Tree Cover = 78%",26,97,15,0.101961,0.380392,0.058824,860018,1.2
"29",53,145,3541967,145,111979606,"Tree Cover = 45%",99,173,64,0.388235,0.678431,0.25098,787714,1.1
"30",66,158,3616999,158,41979971,"Tree Cover = 58%",64,143,40,0.25098,0.560784,0.156863,804401,1.1
"31",67,159,3742579,159,41088624,"Tree Cover = 59%",62,140,38,0.243137,0.54902,0.14902,832330,1.1
"32",85,177,3636772,177,75012727,"Tree Cover = 77%",26,99,15,0.101961,0.388235,0.058824,808799,1.1
"33",64,156,3328127,156,37637619,"Tree Cover = 56%",69,148,43,0.270588,0.580392,0.168627,740158,1
"34",65,157,3471318,157,37393772,"Tree Cover = 57%",68,145,42,0.266667,0.568627,0.164706,772003,1
"35",87,179,3222318,179,58184501,"Tree Cover = 79%",23,94,13,0.090196,0.368627,0.05098,716626,1
"36",61,153,2868323,153,36181057,"Tree Cover = 53%",78,156,50,0.305882,0.611765,0.196078,637900,0.9
"37",62,154,3029819,154,36210089,"Tree Cover = 54%",76,153,47,0.298039,0.6,0.184314,673816,0.9
"38",93,185,2935666,185,27728902,"Tree Cover = 85%",14,82,8,0.054902,0.321569,0.031373,652876,0.9
"39",1,13,2770319,13,32666410,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,616104,0.8
"40",59,151,2562321,151,38672990,"Tree Cover = 51%",84,161,53,0.329412,0.631373,0.207843,569846,0.8
"41",60,152,2715163,152,36593412,"Tree Cover = 52%",79,158,51,0.309804,0.619608,0.2,603838,0.8
"42",88,180,2851567,180,53296555,"Tree Cover = 80%",22,94,12,0.086275,0.368627,0.047059,634173,0.8
"43",8,24,2273195,24,23025357,"Developed-High Intensity",173,0,28,0.678431,0,0.109804,505546,0.7
