"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",14,64,59029024,64,996488292,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,13127739,17.6
"2",35,118,28089357,118,409548202,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,6246923,8.4
"3",34,117,19827919,117,197064685,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,4409623,5.9
"4",33,116,18427655,116,238107595,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,4098212,5.5
"5",9,25,18097130,25,278209151,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,4024705,5.4
"6",36,119,17919070,119,196386027,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,3985105,5.3
"7",32,115,15574884,115,181812671,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,3463771,4.6
"8",37,120,13381270,120,180182164,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,2975923,4
"9",76,303,13084521,303,893522820,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,2909927,3.9
"10",31,114,11741007,114,179336753,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,2611137,3.5
"11",38,121,10357080,121,148652997,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,2303359,3.1
"12",15,65,10070600,65,96060928,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,2239648,3
"13",0,11,9051237,11,618852475,"Open Water",0,0,255,0,0,1,2012947,2.7
"14",30,113,8254431,113,120127380,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,1835741,2.5
"15",39,122,7250432,122,130787915,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,1612457,2.2
"16",6,22,7076248,22,101146235,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,1573720,2.1
"17",83,310,6802934,310,181217492,"Herb Height >= 1 meter",255,51,0,1,0.2,0,1512936,2
"18",29,112,5475916,112,90377419,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,1217814,1.6
"19",81,308,4585874,308,67066487,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,1019874,1.4
"20",4,16,4249220,16,51432545,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,945004,1.3
"21",7,23,4054541,23,47439540,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,901708,1.2
"22",16,68,3945024,68,187766346,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,877352,1.2
"23",40,123,3664719,123,108221951,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,815014,1.1
"24",28,111,3445106,111,66078363,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,766173,1
"25",80,307,3070059,307,25580956,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,682765,0.9
"26",82,309,2923654,309,31361779,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,650205,0.9
"27",1,13,2770319,13,32666410,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,616104,0.8
"28",41,124,2701843,124,87181121,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,600875,0.8
"29",8,24,2273195,24,23025357,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,505546,0.7
"30",27,110,2442162,110,59168121,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,543124,0.7
"31",25,108,1875045,108,83421369,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,417000,0.6
"32",5,17,1809305,17,46968954,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,402380,0.5
"33",79,306,1723000,306,30207424,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,383186,0.5
"34",3,15,1416199,15,14399371,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,314955,0.4
"35",26,109,1286046,109,44002137,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,286010,0.4
"36",2,14,928846,14,27916204,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,206570,0.3
