"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13020_63_A","13020_63","A",2,"Laurentian-Acadian Northern Hardwoods Forest","Early1:ALL","Early1","ALL",29159,17088331,3800351,76007,6485,0
"13020_63_B","13020_63","B",4,"Laurentian-Acadian Northern Hardwoods Forest","Early2:ALL","Early2","ALL",320790,17088331,3800351,152014,71342,2
"13020_63_C","13020_63","C",14,"Laurentian-Acadian Northern Hardwoods Forest","Mid1:CLS","Mid1","CLS",1649604,17088331,3800351,532049,366863,10
"13020_63_D","13020_63","D",76,"Laurentian-Acadian Northern Hardwoods Forest","Late1:CLS","Late1","CLS",811,17088331,3800351,2888267,180,0
"13020_63_E","13020_63","E",4,"Laurentian-Acadian Northern Hardwoods Forest","Mid2:CLS","Mid2","CLS",2512042,17088331,3800351,152014,558664,15
"13020_63_Agriculture","13020_63","Agriculture",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,7331332,17088331,3800351,0,1630448,43
"13020_63_Urban","13020_63","Urban",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,2708810,17088331,3800351,0,602424,16
"13020_63_Water","13020_63","Water",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,NA,17088331,3800351,0,NA,NA
"13020_63_UN","13020_63","UN",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,703543,17088331,3800351,0,156464,4
"13020_63_UE","13020_63","UE",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,1832240,17088331,3800351,0,407480,11
"13020_64_A","13020_64","A",2,"Laurentian-Acadian Northern Hardwoods Forest","Early1:ALL","Early1","ALL",31492,8556123,1902835,38057,7004,0
"13020_64_B","13020_64","B",4,"Laurentian-Acadian Northern Hardwoods Forest","Early2:ALL","Early2","ALL",277833,8556123,1902835,76113,61789,3
"13020_64_C","13020_64","C",14,"Laurentian-Acadian Northern Hardwoods Forest","Mid1:CLS","Mid1","CLS",1353585,8556123,1902835,266397,301030,16
"13020_64_D","13020_64","D",76,"Laurentian-Acadian Northern Hardwoods Forest","Late1:CLS","Late1","CLS",73,8556123,1902835,1446154,16,0
"13020_64_E","13020_64","E",4,"Laurentian-Acadian Northern Hardwoods Forest","Mid2:CLS","Mid2","CLS",3207052,8556123,1902835,76113,713231,37
"13020_64_Agriculture","13020_64","Agriculture",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,1635773,8556123,1902835,0,363787,19
"13020_64_Urban","13020_64","Urban",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,434858,8556123,1902835,0,96710,5
"13020_64_Water","13020_64","Water",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,NA,8556123,1902835,0,NA,NA
"13020_64_UN","13020_64","UN",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,1087085,8556123,1902835,0,241762,13
"13020_64_UE","13020_64","UE",0,"Laurentian-Acadian Northern Hardwoods Forest",NA,NA,NA,528372,8556123,1902835,0,117507,6
"13022_41_50_51_A","13022_41_50_51","A",2,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Early1:ALL","Early1","ALL",1600,56609741,12589695,251794,356,0
"13022_41_50_51_B","13022_41_50_51","B",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Early2:ALL","Early2","ALL",462831,56609741,12589695,503588,102931,1
"13022_41_50_51_C","13022_41_50_51","C",14,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Mid1:CLS","Mid1","CLS",6760309,56609741,12589695,1762557,1503456,12
"13022_41_50_51_D","13022_41_50_51","D",76,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Late1:CLS","Late1","CLS",NA,56609741,12589695,9568168,NA,NA
"13022_41_50_51_E","13022_41_50_51","E",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Mid2:CLS","Mid2","CLS",22389468,56609741,12589695,503588,4979295,40
"13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,12464981,56609741,12589695,0,2772143,22
"13022_41_50_51_Urban","13022_41_50_51","Urban",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,4772819,56609741,12589695,0,1061449,8
"13022_41_50_51_Water","13022_41_50_51","Water",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,NA,56609741,12589695,0,NA,NA
"13022_41_50_51_UN","13022_41_50_51","UN",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,6506682,56609741,12589695,0,1447050,11
"13022_41_50_51_UE","13022_41_50_51","UE",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,3251051,56609741,12589695,0,723016,6
"13023_51_A","13023_51","A",4,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood","Early1:ALL","Early1","ALL",4,457760,101803,4072,1,0
"13023_51_B","13023_51","B",7,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood","Early2:ALL","Early2","ALL",9703,457760,101803,7126,2158,2
"13023_51_C","13023_51","C",16,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood","Mid1:CLS","Mid1","CLS",165116,457760,101803,16289,36721,36
"13023_51_D","13023_51","D",69,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood","Late1:CLS","Late1","CLS",NA,457760,101803,70244,NA,NA
"13023_51_E","13023_51","E",4,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood","Mid2:CLS","Mid2","CLS",209268,457760,101803,4072,46540,46
"13023_51_Agriculture","13023_51","Agriculture",0,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood",NA,NA,NA,14037,457760,101803,0,3122,3
"13023_51_Urban","13023_51","Urban",0,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood",NA,NA,NA,16881,457760,101803,0,3754,4
"13023_51_Water","13023_51","Water",0,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood",NA,NA,NA,NA,457760,101803,0,NA,NA
